,Year,Team,GP,W,L,year_diff,wins_change
597,2018,VGK,82,51,24,-1.0,1.04
639,2019,VGK,58,31,23,1.0,-0.3921568627450981
121,1975,WSH,80,8,67,-44.0,-0.7419354838709677
142,1976,WSH,80,11,59,1.0,0.375
161,1977,WSH,80,24,42,1.0,1.1818181818181817
183,1978,WSH,80,17,49,1.0,-0.29166666666666663
201,1979,WSH,80,24,41,1.0,0.41176470588235303
224,1980,WSH,80,27,40,1.0,0.125
248,1981,WSH,80,26,36,1.0,-0.03703703703703709
271,1982,WSH,80,26,41,1.0,0.0
287,1983,WSH,80,39,25,1.0,0.5
308,1984,WSH,80,48,27,1.0,0.23076923076923084
330,1985,WSH,80,46,25,1.0,-0.04166666666666663
354,1986,WSH,80,50,23,1.0,0.08695652173913038
382,1987,WSH,80,38,32,1.0,-0.24
407,1988,WSH,80,38,33,1.0,0.0
426,1989,WSH,80,41,29,1.0,0.07894736842105265
460,1990,WSH,80,36,38,1.0,-0.12195121951219512
480,1991,WSH,80,37,36,1.0,0.02777777777777768
497,1992,WSH,80,45,27,1.0,0.21621621621621623
530,1993,WSH,84,43,34,1.0,-0.0444444444444444
559,1994,WSH,84,39,35,1.0,-0.09302325581395354
585,1995,WSH,48,22,18,1.0,-0.4358974358974359
615,1996,WSH,82,39,32,1.0,0.7727272727272727
652,1997,WSH,82,33,40,1.0,-0.15384615384615385
671,1998,WSH,82,40,30,1.0,0.21212121212121215
24,1999,WSH,82,31,45,1.0,-0.22499999999999998
36,2000,WSH,82,44,24,1.0,0.4193548387096775
72,2001,WSH,82,41,27,1.0,-0.06818181818181823
114,2002,WSH,82,36,33,1.0,-0.12195121951219512
141,2003,WSH,82,39,29,1.0,0.08333333333333326
190,2004,WSH,82,23,46,1.0,-0.41025641025641024
223,2006,WSH,82,29,41,2.0,0.26086956521739135
256,2007,WSH,82,28,40,1.0,-0.03448275862068961
299,2009,WSH,82,50,24,2.0,0.7857142857142858
329,2010,WSH,82,54,15,1.0,0.08000000000000007
363,2011,WSH,82,48,23,1.0,-0.11111111111111116
410,2012,WSH,82,42,32,1.0,-0.125
437,2013,WSH,48,27,18,1.0,-0.3571428571428571
477,2014,WSH,82,38,30,1.0,0.40740740740740744
503,2015,WSH,82,45,26,1.0,0.18421052631578938
527,2016,WSH,82,56,18,1.0,0.24444444444444446
560,2017,WSH,82,55,19,1.0,-0.017857142857142905
598,2018,WSH,82,49,26,1.0,-0.10909090909090913
635,2019,WSH,57,31,19,1.0,-0.36734693877551017
228,1980,WIN,80,20,49,-39.0,-0.3548387096774194
252,1981,WIN,80,9,57,1.0,-0.55
265,1982,WIN,80,33,33,1.0,2.6666666666666665
315,1984,WIN,80,31,38,2.0,-0.06060606060606055
331,1985,WIN,80,43,27,1.0,0.3870967741935485
368,1986,WIN,80,26,47,1.0,-0.39534883720930236
381,1987,WIN,80,40,32,1.0,0.5384615384615385
413,1988,WIN,80,33,36,1.0,-0.17500000000000004
441,1989,WIN,80,26,42,1.0,-0.21212121212121215
454,1990,WIN,80,37,32,1.0,0.42307692307692313
489,1991,WIN,80,26,43,1.0,-0.29729729729729726
508,1992,WIN,80,33,32,1.0,0.26923076923076916
534,1993,WIN,84,40,37,1.0,0.21212121212121215
572,1994,WIN,84,24,51,1.0,-0.4
597,1995,WIN,48,16,25,1.0,-0.33333333333333337
623,1996,WIN,82,36,40,1.0,1.25
416,2012,WIN,82,37,35,16.0,0.02777777777777768
446,2013,WIN,48,24,21,1.0,-0.3513513513513513
482,2014,WIN,82,37,35,1.0,0.5416666666666667
506,2015,WIN,82,43,26,1.0,0.16216216216216206
551,2016,WIN,82,35,39,1.0,-0.18604651162790697
579,2017,WIN,82,40,35,1.0,0.1428571428571428
594,2018,WIN,82,52,20,1.0,0.30000000000000004
629,2019,WIN,57,36,18,1.0,-0.3076923076923077
