,Round,Pick,Overall,Team,Player,Position,Year,overall_pick,pick_points
1623,3.0,28.0,2007-89,BUF,Corey Tropp,F,2007,89,-57
1624,3.0,29.0,2007-90,OTT,Louie Caporusso,F,2007,90,-58
1625,3.0,30.0,2007-91,SJS,Tyson Sexsmith,G,2007,91,-59
1626,3.0,1.0,2006-64,STL,Jonas Junland,D,2006,64,-32
1627,3.0,2.0,2006-65,PIT,Brian Strait,D,2006,65,-33
1628,3.0,3.0,2006-66,MTL,Ryan White,F,2006,66,-34
1629,3.0,4.0,2006-67,NJD,Kirill Tulupov,D,2006,67,-35
1630,3.0,5.0,2006-68,OTT,Eric Gryba,D,2006,68,-36
1631,3.0,6.0,2006-69,CBJ,Steve Mason,G,2006,69,-37
1632,3.0,7.0,2006-70,NYI,Robin Figren,F,2006,70,-38
1633,3.0,8.0,2006-71,BOS,Brad Marchand,F,2006,71,-39
1634,3.0,9.0,2006-72,MIN,Cal Clutterbuck,F,2006,72,-40
1635,3.0,10.0,2006-73,FLA,Brady Calla,F,2006,73,-41
1636,3.0,11.0,2006-74,LAK,Jeff Zatkoff,G,2006,74,-42
1637,3.0,12.0,2006-75,EDM,Theo Peckham,D,2006,75,-43
1638,3.0,13.0,2006-76,CHI,Tony Lagerstr\xf6m,F,2006,76,-44
1639,3.0,14.0,2006-77,NJD,Vladimir Zharkov,F,2006,77,-45
1640,3.0,15.0,2006-78,TBL,Kevin Quick,D,2006,78,-46
1641,3.0,16.0,2006-79,PHI,Jon Matsumoto,F,2006,79,-47
1642,3.0,17.0,2006-80,ATL,Michael Forney,F,2006,80,-48
1643,3.0,18.0,2006-81,COL,Mike Carman,F,2006,81,-49
1644,3.0,19.0,2006-82,VAN,Daniel Rahimi,D,2006,82,-50
1645,3.0,20.0,2006-83,ANA,John De Gray,D,2006,83,-51
1646,3.0,21.0,2006-84,NYR,Ryan Hillier,F,2006,84,-52
1647,3.0,22.0,2006-85,CBJ,Tom Sestito,F,2006,85,-53
1648,3.0,23.0,2006-86,LAK,Bud Holloway,F,2006,86,-54
1649,3.0,24.0,2006-87,CGY,John Armstrong,F,2006,87,-55
1650,3.0,25.0,2006-88,PHX,Jonas Ahnelov,D,2006,88,-56
1651,3.0,26.0,2006-89,CGY,Aaron Marvin,F,2006,89,-57
1652,3.0,27.0,2006-90,DAL,Aaron Snow,F,2006,90,-58
1653,3.0,28.0,2006-91,OTT,Kaspars Daugavins,F,2006,91,-59
1654,3.0,29.0,2006-92,DET,Daniel Larsson,G,2006,92,-60
1655,3.0,30.0,2006-93,CAR,Harrison Reed,F,2006,93,-61
1656,3.0,1.0,2005-62,PIT,Kris Letang,D,2005,62,-30
1657,3.0,2.0,2005-63,ANA,Jason Bailey,F,2005,63,-31
1658,3.0,3.0,2005-64,CAR,Joe Barnes,F,2005,64,-32
1659,3.0,4.0,2005-65,MIN,Kristofer Westblom,G,2005,65,-33
1660,3.0,5.0,2005-66,NYR,Brodie Dupont,F,2005,66,-34
1661,3.0,6.0,2005-67,CBJ,Kris Russell,D,2005,67,-35
1662,3.0,7.0,2005-68,CHI,Evan Brophey,F,2005,68,-36
1663,3.0,8.0,2005-69,CGY,Gord Baldwin,D,2005,69,-37
1664,3.0,9.0,2005-70,OTT,Vitaly Anikeyenko,D,2005,70,-38
1665,3.0,10.0,2005-71,DAL,Rich Clune,F,2005,71,-39
1666,3.0,11.0,2005-72,LAK,Jonathan Quick,G,2005,72,-40
1667,3.0,12.0,2005-73,TBL,Radek Smolenak,F,2005,73,-41
1668,3.0,13.0,2005-74,CGY,Dan Ryder,F,2005,74,-42
1669,3.0,14.0,2005-75,DAL,Perttu Lindgren,F,2005,75,-43
1670,3.0,15.0,2005-76,NYI,Shea Guthrie,F,2005,76,-44
1671,3.0,16.0,2005-77,NYR,Dalyn Flatt,D,2005,77,-45
1672,3.0,17.0,2005-78,NSH,Teemu Laakso,D,2005,78,-46
1673,3.0,18.0,2005-79,NSH,Cody Franson,D,2005,79,-47
1674,3.0,19.0,2005-80,DET,Christofer Lofberg,F,2005,80,-48
1675,3.0,20.0,2005-81,EDM,Danny Syvret,D,2005,81,-49
1676,3.0,21.0,2005-82,TOR,Phil Oreskovic,D,2005,82,-50
1677,3.0,22.0,2005-83,BOS,Mikko Lehtonen,F,2005,83,-51
1678,3.0,23.0,2005-84,NJD,Mark Fraser,D,2005,84,-52
1679,3.0,24.0,2005-85,STL,Ben Bishop,G,2005,85,-53
1680,3.0,25.0,2005-86,EDM,Robby Dee,F,2005,86,-54
1681,3.0,26.0,2005-87,BUF,Marc-Andre Gragnani,D,2005,87,-55
1682,3.0,27.0,2005-88,COL,T.J. Hensick,F,2005,88,-56
1683,3.0,28.0,2005-89,TBL,Chris Lawrence,F,2005,89,-57
1684,3.0,29.0,2005-90,FLA,Dan Collins,F,2005,90,-58
1685,3.0,30.0,2005-91,PHI,Oskars Bartulis,D,2005,91,-59
1686,3.0,1.0,2004-66,WSH,Sami Lepisto,D,2004,66,-34
1687,3.0,2.0,2004-67,PIT,Nick Johnson,F,2004,67,-35
1688,3.0,3.0,2004-68,CHI,Adam Berti,F,2004,68,-36
1689,3.0,4.0,2004-69,CAR,Casey Borer,D,2004,69,-37
1690,3.0,5.0,2004-70,CGY,Brandon Prust,F,2004,70,-38
1691,3.0,6.0,2004-71,BUF,Andrej Sekera,D,2004,71,-39
1692,3.0,7.0,2004-72,COL,Denis Parshin,F,2004,72,-40
1693,3.0,8.0,2004-73,NYR,Zdenek Bahensky,F,2004,73,-41
1694,3.0,9.0,2004-74,ANA,Kyle Klubertanz,D,2004,74,-42
1695,3.0,10.0,2004-75,ANA,Tim Brent,F,2004,75,-43
1696,3.0,11.0,2004-76,ATL,Scott Lehman,D,2004,76,-44
1697,3.0,12.0,2004-77,OTT,Shawn Weller,F,2004,77,-45
1698,3.0,13.0,2004-78,MIN,Peter Olvecky,F,2004,78,-46
1699,3.0,14.0,2004-79,MIN,Clayton Stoner,D,2004,79,-47
1700,3.0,15.0,2004-80,NYR,Billy Ryan,F,2004,80,-48
1701,3.0,16.0,2004-81,NSH,Vaclav Meidl,F,2004,81,-49
1702,3.0,17.0,2004-82,NYI,Sergei Ogorodnikov,F,2004,82,-50
1703,3.0,18.0,2004-83,STL,Victor Alexandrov,F,2004,83,-51
1704,3.0,19.0,2004-84,MTL,Alexei Emelin,D,2004,84,-52
1705,3.0,20.0,2004-85,PIT,Brian Gifford,F,2004,85,-53
1706,3.0,21.0,2004-86,DAL,John Lammers,F,2004,86,-54
1707,3.0,22.0,2004-87,OTT,Peter Regin,F,2004,87,-55
1708,3.0,23.0,2004-88,WSH,Clayton Barthel,D,2004,88,-56
1709,3.0,24.0,2004-89,OTT,Jeff Glass,G,2004,89,-57
1710,3.0,25.0,2004-90,TOR,Justin Pogge,G,2004,90,-58
1711,3.0,26.0,2004-91,VAN,Alexander Edler,D,2004,91,-59
1712,3.0,27.0,2004-92,PHI,Rob Bellamy,F,2004,92,-60
1713,3.0,28.0,2004-93,CBJ,Daniel Lacosta,G,2004,93,-61
1714,3.0,29.0,2004-94,SJS,Thomas Greiss,G,2004,94,-62
1715,3.0,30.0,2004-95,LAK,Paul Baier,D,2004,95,-63
1716,3.0,31.0,2004-96,CBJ,Andrey Plekhanov,D,2004,96,-64
1717,3.0,32.0,2004-97,DET,Johan Franzen,F,2004,97,-65
1718,3.0,33.0,2004-98,CGY,Dustin Boyd,F,2004,98,-66
1719,3.0,1.0,2003-69,PHI,Colin Fraser,F,2003,69,-37
1720,3.0,2.0,2003-70,PIT,Jonathan Filewich,F,2003,70,-38
1721,3.0,3.0,2003-71,CBJ,Dmitri Kosmachev,D,2003,71,-39
1722,3.0,4.0,2003-72,EDM,Mishail Joukov,F,2003,72,-40
1723,3.0,5.0,2003-73,PIT,Daniel Carcillo,F,2003,73,-41
1724,3.0,6.0,2003-74,BUF,Clarke MacArthur,F,2003,74,-42
1725,3.0,7.0,2003-75,NYR,Ken Roche,F,2003,75,-43
1726,3.0,8.0,2003-76,NSH,Richard Stehlik,D,2003,76,-44
1727,3.0,9.0,2003-77,PHX,Tyler Redenbach,F,2003,77,-45
1728,3.0,10.0,2003-78,MIN,Danny Irmen,F,2003,78,-46
1729,3.0,11.0,2003-79,MTL,Ryan O'Byrne,D,2003,79,-47
1730,3.0,12.0,2003-80,PHX,Dimitri Pestunov,F,2003,80,-48
1731,3.0,13.0,2003-81,PHI,Stefan Ruzicka,F,2003,81,-49
1732,3.0,14.0,2003-82,LAK,Ryan Munce,G,2003,82,-50
1733,3.0,15.0,2003-83,WSH,Stephen Werner,F,2003,83,-51
1734,3.0,16.0,2003-84,STL,Konstantin Barulin,G,2003,84,-52
1735,3.0,17.0,2003-85,PHI,Alexandre Picard,D,2003,85,-53
1736,3.0,18.0,2003-86,ANA,Shane Hynes,F,2003,86,-54
1737,3.0,19.0,2003-87,PHI,Ryan Potulny,F,2003,87,-55
1738,3.0,20.0,2003-88,STL,Zack Fitzgerald,D,2003,88,-56
1739,3.0,21.0,2003-89,NSH,Paul Brown,F,2003,89,-57
1740,3.0,22.0,2003-90,ANA,Juha Alen,D,2003,90,-58
1741,3.0,23.0,2003-91,TOR,Martin Sagat,F,2003,91,-59
1742,3.0,24.0,2003-92,NSH,Alexander Sulzer,D,2003,92,-60
1743,3.0,25.0,2003-93,NJD,Ivan Khomutov,F,2003,93,-61
1744,3.0,26.0,2003-94,EDM,Zack Stortini,F,2003,94,-62
1745,3.0,27.0,2003-95,PHI,Rick Kozak,F,2003,95,-63
1746,3.0,28.0,2003-96,TBL,Jonathan Boutin,G,2003,96,-64
1747,3.0,29.0,2003-97,CGY,Ryan Donally,F,2003,97,-65
1748,3.0,30.0,2003-98,NSH,Grigory Shafigulin,F,2003,98,-66
1749,3.0,31.0,2003-99,DAL,Matt Nickerson,D,2003,99,-67
1750,3.0,32.0,2003-100,OTT,Philippe Seydoux,D,2003,100,-68
1751,3.0,33.0,2003-101,STL,Konstantin Zakharov,F,2003,101,-69
1752,3.0,1.0,2002-64,NJD,Jason Ryznar,F,2002,64,-32
1753,3.0,2.0,2002-65,CBJ,Ole-Kristian Tollefsen,D,2002,65,-33
1754,3.0,3.0,2002-66,LAK,Petr Kanko,F,2002,66,-34
1755,3.0,4.0,2002-67,FLA,Gregory Campbell,F,2002,67,-35
1756,3.0,5.0,2002-68,VAN,Brett Skinner,D,2002,68,-36
1757,3.0,6.0,2002-69,PIT,Erik Christensen,F,2002,69,-37
1758,3.0,7.0,2002-70,PHX,Joe Callahan,D,2002,70,-38
1759,3.0,8.0,2002-71,ANA,Brian Lee,D,2002,71,-39
1760,3.0,9.0,2002-72,MIN,Michael Erickson,F,2002,72,-40
1761,3.0,10.0,2002-73,MIN,Barry Brust,G,2002,73,-41
1762,3.0,11.0,2002-74,TOR,Todd Ford,G,2002,74,-42
1763,3.0,12.0,2002-75,OTT,Arttu Luttinen,F,2002,75,-43
1764,3.0,13.0,2002-76,BUF,Michael Tessier,F,2002,76,-44
1765,3.0,14.0,2002-77,WSH,Patrick Wellar,D,2002,77,-45
1766,3.0,15.0,2002-78,DAL,Geoff Waugh,D,2002,78,-46
1767,3.0,16.0,2002-79,EDM,Brock Radunske,F,2002,79,-47
1768,3.0,17.0,2002-80,PHX,Matt Jones,D,2002,80,-48
1769,3.0,18.0,2002-81,NYR,Marcus Jonasen,F,2002,81,-49
1770,3.0,19.0,2002-82,BUF,John Adams,D,2002,82,-50
1771,3.0,20.0,2002-83,VAN,Lukas Mensator,G,2002,83,-51
1772,3.0,21.0,2002-84,NJD,Marek Chvatal,D,2002,84,-52
1773,3.0,22.0,2002-85,NJD,Ahren Nittel,F,2002,85,-53
1774,3.0,23.0,2002-86,SJS,Jonas Fiedler,F,2002,86,-54
1775,3.0,24.0,2002-87,NYI,Frans Nielsen,F,2002,87,-55
1776,3.0,25.0,2002-88,TOR,Dominic D'Amour,D,2002,88,-56
1777,3.0,26.0,2002-89,STL,Tomas Troliga,F,2002,89,-57
1778,3.0,27.0,2002-90,CGY,Matthew Lombardi,F,2002,90,-58
1779,3.0,28.0,2002-91,CAR,Jesse Lane,D,2002,91,-59
1780,3.0,29.0,2002-92,WSH,Derek Krestanovich,F,2002,92,-60
1781,3.0,30.0,2002-93,CHI,Alexander Kozhevnikov,F,2002,93,-61
1782,3.0,31.0,2002-94,COL,Eric Lundberg,D,2002,94,-62
1783,3.0,32.0,2002-95,DET,Valtteri Filppula,F,2002,95,-63
1784,3.0,33.0,2002-96,CBJ,Jeff Genovy,F,2002,96,-64
1785,3.0,1.0,2001-64,FLA,Tomas Malec,D,2001,64,-32
1786,3.0,2.0,2001-65,TOR,Brendan Bell,D,2001,65,-33
1787,3.0,3.0,2001-66,VAN,Fedor Fedorov,F,2001,66,-34
1788,3.0,4.0,2001-67,NJD,Robin Leblanc,F,2001,67,-35
1789,3.0,5.0,2001-68,FLA,Grant McNeill,D,2001,68,-36
1790,3.0,6.0,2001-69,ANA,Joel Stepp,F,2001,69,-37
1791,3.0,7.0,2001-70,DAL,Yared Hagos,F,2001,70,-38
1792,3.0,8.0,2001-71,MTL,Tomas Plekanec,F,2001,71,-39
1793,3.0,9.0,2001-72,NJD,Brandon Nolan,F,2001,72,-40
1794,3.0,10.0,2001-73,CHI,Craig Anderson,G,2001,73,-41
1795,3.0,11.0,2001-74,MIN,Chris Heid,D,2001,74,-42
1796,3.0,12.0,2001-75,NSH,Denis Platonov,F,2001,75,-43
1797,3.0,13.0,2001-76,NSH,Oliver Setzinger,F,2001,76,-44
1798,3.0,14.0,2001-77,BOS,Darren Mclachlan,F,2001,77,-45
1799,3.0,15.0,2001-78,PHX,Beat Forster,D,2001,78,-46
1800,3.0,16.0,2001-79,NYR,Garth Murray,F,2001,79,-47
1801,3.0,17.0,2001-80,ATL,Michael Garnett,G,2001,80,-48
1802,3.0,18.0,2001-81,OTT,Neil Komadoski,D,2001,81,-49
1803,3.0,19.0,2001-82,TOR,Jay Harrison,D,2001,82,-50
1804,3.0,20.0,2001-83,LAK,Henrik Juntunen,F,2001,83,-51
1805,3.0,21.0,2001-84,EDM,Kenny Smith,D,2001,84,-52
1806,3.0,22.0,2001-85,CBJ,Aaron Johnson,D,2001,85,-53
1807,3.0,23.0,2001-86,PIT,Drew Fata,D,2001,86,-54
1808,3.0,24.0,2001-87,CBJ,Per Mars,F,2001,87,-55
1809,3.0,25.0,2001-88,TOR,Nicolas Corbeil,F,2001,88,-56
1810,3.0,26.0,2001-89,STL,Tuomas Nissinen,G,2001,89,-57
1811,3.0,27.0,2001-90,WSH,Owen Fussey,F,2001,90,-58
1812,3.0,28.0,2001-91,CAR,Kevin Estrada,F,2001,91,-59
1813,3.0,29.0,2001-92,DAL,Anthony Aquino,F,2001,92,-60
1814,3.0,30.0,2001-93,MIN,Stephane Veilleux,F,2001,93,-61
1815,3.0,31.0,2001-94,TBL,Evgeny Artyukhin,F,2001,94,-62
1816,3.0,32.0,2001-95,PHI,Patrick Sharp,F,2001,95,-63
1817,3.0,33.0,2001-96,PIT,Alexandre Rouleau,D,2001,96,-64
1818,3.0,34.0,2001-97,COL,Danny Bois,F,2001,97,-65
1819,3.0,1.0,2000-66,BOS,Tuukka Makela,D,2000,66,-34
1820,3.0,2.0,2000-67,NJD,Maxim Birbraer,F,2000,67,-35
1821,3.0,3.0,2000-68,DAL,Joel Lundqvist,F,2000,68,-36
1822,3.0,4.0,2000-69,CBJ,Ben Knopp,F,2000,69,-37
1823,3.0,5.0,2000-70,TOR,Mikael Tellqvist,G,2000,70,-38
1824,3.0,6.0,2000-71,VAN,Thatcher Bell,F,2000,71,-39
1825,3.0,7.0,2000-72,NSH,Mattias Nilsson,D,2000,72,-40
1826,3.0,8.0,2000-73,BOS,Sergei Zinovjev,F,2000,73,-41
1827,3.0,9.0,2000-74,CHI,Igor Radulov,F,2000,74,-42
1828,3.0,10.0,2000-75,STL,Justin Papineau,F,2000,75,-43
1829,3.0,11.0,2000-76,NJD,Mike Rupp,F,2000,76,-44
1830,3.0,12.0,2000-77,FLA,Robert Fried,F,2000,77,-45
1831,3.0,13.0,2000-78,MTL,Jozef Balej,F,2000,78,-46
1832,3.0,14.0,2000-79,MTL,Tyler Hanchuck,D,2000,79,-47
1833,3.0,15.0,2000-80,CAR,Ryan Bayda,F,2000,80,-48
1834,3.0,16.0,2000-81,TBL,Alexandre Kharitonov,F,2000,81,-49
1835,3.0,17.0,2000-82,FLA,Sean O'Connor,F,2000,82,-50
1836,3.0,18.0,2000-83,EDM,Alexander Ljubimov,D,2000,83,-51
1837,3.0,19.0,2000-84,PIT,Peter Hamerlik,G,2000,84,-52
1838,3.0,20.0,2000-85,PHX,Ramzi Abid,F,2000,85,-53
1839,3.0,21.0,2000-86,LAK,Yanick Lehoux,F,2000,86,-54
1840,3.0,22.0,2000-87,OTT,Jan Bohac,F,2000,87,-55
1841,3.0,23.0,2000-88,COL,Kurt Sauer,D,2000,88,-56
1842,3.0,24.0,2000-89,NSH,Libor Pivko,F,2000,89,-57
1843,3.0,25.0,2000-90,TOR,Jean-Francois Racine,G,2000,90,-58
1844,3.0,26.0,2000-91,DAL,Alexei Tereschenko,F,2000,91,-59
1845,3.0,27.0,2000-92,COL,Sergey Klyazmin,F,2000,92,-60
1846,3.0,28.0,2000-93,VAN,Tim Branham,D,2000,93,-61
1847,3.0,29.0,2000-94,PHI,Alexander Drozdetsky,F,2000,94,-62
1848,3.0,30.0,2000-95,NYR,Dominic Moore,F,2000,95,-63
1849,3.0,31.0,2000-96,STL,Antoine Bergeron,D,2000,96,-64
1850,3.0,1.0,1999-67,TBL,Evgeny Konstantinov,G,1999,67,-35
1851,3.0,2.0,1999-68,ATL,Zdenek Blatny,F,1999,68,-36
1852,3.0,3.0,1999-69,VAN,Rene Vydareny,D,1999,69,-37
1853,3.0,4.0,1999-70,FLA,Niklas Hagman,F,1999,70,-38
1854,3.0,5.0,1999-71,PHX,Jason Jaspers,F,1999,71,-39
1855,3.0,6.0,1999-72,NSH,Brett Angel,D,1999,72,-40
1856,3.0,7.0,1999-73,BUF,Tim Preston,F,1999,73,-41
1857,3.0,8.0,1999-74,LAK,Jason Crain,D,1999,74,-42
1858,3.0,9.0,1999-75,TBL,Brett Scheffelmaier,D,1999,75,-43
1859,3.0,10.0,1999-76,LAK,Frantisek Kaberle,D,1999,76,-44
1860,3.0,11.0,1999-77,CGY,Craig Anderson,G,1999,77,-45
1861,3.0,12.0,1999-78,NYI,Mattias Weinhandl,F,1999,78,-46
1862,3.0,13.0,1999-79,NYR,Johan Asplund,G,1999,79,-47
1863,3.0,14.0,1999-80,FLA,Jean-Francois Laniel,G,1999,80,-48
1864,3.0,15.0,1999-81,EDM,Adam Hauser,G,1999,81,-49
1865,3.0,16.0,1999-82,SJS,Mark Concannon,F,1999,82,-50
1866,3.0,17.0,1999-83,ANA,Niclas Havelid,D,1999,83,-51
1867,3.0,18.0,1999-84,CAR,Brad Fast,D,1999,84,-52
1868,3.0,19.0,1999-85,STL,Peter Smrek,D,1999,85,-53
1869,3.0,20.0,1999-86,PIT,Sebastien Caron,G,1999,86,-54
1870,3.0,21.0,1999-87,NYI,Brian Collins,F,1999,87,-55
1871,3.0,22.0,1999-88,TBL,Jimmie Olvestad,F,1999,88,-56
1872,3.0,23.0,1999-89,BOS,Kyle Wanvig,F,1999,89,-57
1873,3.0,24.0,1999-90,NYR,Patrick Aufiero,D,1999,90,-58
1874,3.0,25.0,1999-91,EDM,Mike Comrie,F,1999,91,-59
1875,3.0,26.0,1999-92,LAK,Cory Campbell,G,1999,92,-60
1876,3.0,27.0,1999-93,COL,Branko Radivojevic,F,1999,93,-61
1877,3.0,28.0,1999-94,OTT,Chris Kelly,F,1999,94,-62
1878,3.0,29.0,1999-95,NJD,Andre Lakos,D,1999,95,-63
1879,3.0,30.0,1999-96,DAL,Mathias Tjarnqvist,F,1999,96,-64
1880,3.0,1.0,1998-59,WSH,Todd Hornung,F,1998,59,-27
1881,3.0,2.0,1998-60,NSH,Denis Arkhipov,F,1998,60,-28
1882,3.0,3.0,1998-61,FLA,Joe DiPenta,D,1998,61,-29
1883,3.0,4.0,1998-62,CGY,Paul Manning,D,1998,62,-30
1884,3.0,5.0,1998-63,FLA,Lance Ward,F,1998,63,-31
1885,3.0,6.0,1998-64,TBL,Brad Richards,F,1998,64,-32
1886,3.0,7.0,1998-65,SJS,Eric Laplante,F,1998,65,-33
1887,3.0,8.0,1998-66,NYR,Jason LaBarbera,G,1998,66,-34
1888,3.0,9.0,1998-67,EDM,Alex Henry,D,1998,67,-35
1889,3.0,10.0,1998-68,VAN,Jarkko Ruutu,F,1998,68,-36
1890,3.0,11.0,1998-69,TOR,Jamie Hodson,G,1998,69,-37
1891,3.0,12.0,1998-70,CAR,Kevin Holdridge,D,1998,70,-38
1892,3.0,13.0,1998-71,CAR,Erik Cole,F,1998,71,-39
1893,3.0,14.0,1998-72,TBL,Dimitri Afanasenkov,F,1998,72,-40
1894,3.0,15.0,1998-73,PHX,Pat O'Leary,F,1998,73,-41
1895,3.0,16.0,1998-74,OTT,Julien Vauclair,D,1998,74,-42
1896,3.0,17.0,1998-75,MTL,Francois Beauchemin,D,1998,75,-43
1897,3.0,18.0,1998-76,LAK,Alexey Volkov,G,1998,76,-44
1898,3.0,19.0,1998-77,BUF,Mike Pandolfo,F,1998,77,-45
1899,3.0,20.0,1998-78,BOS,Peter Nordstrom,F,1998,78,-46
1900,3.0,21.0,1998-79,COL,Evgeny Lazarev,F,1998,79,-47
1901,3.0,22.0,1998-80,PIT,David Cameron,F,1998,80,-48
1902,3.0,23.0,1998-81,VAN,Justin Morrison,F,1998,81,-49
1903,3.0,24.0,1998-82,NJD,Brian Gionta,F,1998,82,-50
1904,3.0,25.0,1998-83,STL,Matt Walker,D,1998,83,-51
1905,3.0,26.0,1998-84,DET,Jake McCracken,G,1998,84,-52
1906,3.0,27.0,1998-85,NSH,Geoff Koch,F,1998,85,-53
1907,3.0,28.0,1998-86,DAL,Gabriel Karlsson,F,1998,86,-54
1908,3.0,1.0,1997-54,BOS,Mattias Karlin,F,1997,54,-22
1909,3.0,2.0,1997-55,COL,Rick Berry,D,1997,55,-23
1910,3.0,3.0,1997-56,FLA,Vratislav Cech,D,1997,56,-24
1911,3.0,4.0,1997-57,TOR,Jeff Farkas,F,1997,57,-25
1912,3.0,5.0,1997-58,OTT,Jani Hurme,G,1997,58,-26
1913,3.0,6.0,1997-59,NYI,Jarrett Smith,F,1997,59,-27
1914,3.0,7.0,1997-60,CGY,Derek Schutz,F,1997,60,-28
1915,3.0,8.0,1997-61,TBL,Matt Elich,F,1997,61,-29
1916,3.0,9.0,1997-62,PHI,Kris Mallette,D,1997,62,-30
1917,3.0,10.0,1997-63,BOS,Lee Goren,F,1997,63,-31
1918,3.0,11.0,1997-64,VAN,Kyle Freadrich,F,1997,64,-32
1919,3.0,12.0,1997-65,MTL,Ilkka Mikkola,D,1997,65,-33
1920,3.0,13.0,1997-66,OTT,Josh Langfeld,F,1997,66,-34
1921,3.0,14.0,1997-67,CHI,Mike Souza,F,1997,67,-35
1922,3.0,15.0,1997-68,EDM,Sergei Yerkovich,D,1997,68,-36
1923,3.0,16.0,1997-69,BUF,Maxim Afinogenov,F,1997,69,-37
1924,3.0,17.0,1997-70,CGY,Erik Andersson,F,1997,70,-38
1925,3.0,18.0,1997-71,PIT,Josef Melichar,D,1997,71,-39
1926,3.0,19.0,1997-72,ANA,Jay Legault,F,1997,72,-40
1927,3.0,20.0,1997-73,NYR,Burke Henry,D,1997,73,-41
1928,3.0,21.0,1997-74,FLA,Nick Smith,F,1997,74,-42
1929,3.0,22.0,1997-75,BUF,Jeff Martin,F,1997,75,-43
1930,3.0,23.0,1997-76,DET,Petr Sykora,F,1997,76,-44
1931,3.0,24.0,1997-77,DAL,Steve Gainey,F,1997,77,-45
1932,3.0,25.0,1997-78,COL,Ville Nieminen,F,1997,78,-46
1933,3.0,26.0,1997-79,NYI,Robert Schnabel,D,1997,79,-47
1934,3.0,27.0,1997-80,CAR,Francis Lessard,F,1997,80,-48
1935,3.0,1.0,1996-53,BOS,Eric Naud,F,1996,53,-21
1936,3.0,2.0,1996-54,BUF,Francois Methot,F,1996,54,-22
1937,3.0,3.0,1996-55,SJS,Terry Friesen,G,1996,55,-23
1938,3.0,4.0,1996-56,NYI,Zdeno Chara,D,1996,56,-24
1939,3.0,5.0,1996-57,LAK,Greg Phillips,F,1996,57,-25
1940,3.0,6.0,1996-58,WSH,Sergei Zimakov,D,1996,58,-26
1941,3.0,7.0,1996-59,EDM,Tom Poti,D,1996,59,-27
1942,3.0,8.0,1996-60,FLA,Chris Allen,D,1996,60,-28
1943,3.0,9.0,1996-61,HFD,Andrei Petrunin,F,1996,61,-29
1944,3.0,10.0,1996-62,PHX,Per-Anton Lundstrom,D,1996,62,-30
1945,3.0,11.0,1996-63,NJD,Scott Parker,F,1996,63,-31
1946,3.0,12.0,1996-64,PHI,Chester Gallant,F,1996,64,-32
1947,3.0,13.0,1996-65,FLA,Oleg Kvasha,F,1996,65,-33
1948,3.0,14.0,1996-66,TOR,Mike Lankshear,D,1996,66,-34
1949,3.0,15.0,1996-67,STL,Gordie Dwyer,F,1996,67,-35
1950,3.0,16.0,1996-68,TOR,Konstantin Kalmikov,F,1996,68,-36
1951,3.0,17.0,1996-69,TBL,Curtis Tipler,F,1996,69,-37
1952,3.0,18.0,1996-70,DAL,Jon Sim,F,1996,70,-38
1953,3.0,19.0,1996-71,MTL,Arron Asham,F,1996,71,-39
1954,3.0,20.0,1996-72,PIT,Boyd Kane,F,1996,72,-40
1955,3.0,21.0,1996-73,CGY,Dmitri Vlasenkov,F,1996,73,-41
1956,3.0,22.0,1996-74,WSH,Dave Weninger,G,1996,74,-42
1957,3.0,23.0,1996-75,VAN,Zenith Komarniski,D,1996,75,-43
1958,3.0,24.0,1996-76,NYR,Dmitri Subbotin,F,1996,76,-44
1959,3.0,25.0,1996-77,PIT,Boris Protsenko,F,1996,77,-45
1960,3.0,26.0,1996-78,WSH,Shawn McNeil,F,1996,78,-46
1961,3.0,27.0,1996-79,COL,Mark Parrish,F,1996,79,-47
1962,3.0,28.0,1996-80,BOS,Jason Doyle,F,1996,80,-48
1963,3.0,1.0,1995-53,OTT,Brad Larsen,F,1995,53,-21
1964,3.0,2.0,1995-54,TOR,Ryan Pepperall,F,1995,54,-22
1965,3.0,3.0,1995-55,ANA,Mike Leclerc,F,1995,55,-23
1966,3.0,4.0,1995-56,TBL,Shane Willis,F,1995,56,-24
1967,3.0,5.0,1995-57,EDM,Lukas Zib,D,1995,57,-25
1968,3.0,6.0,1995-58,DET,Darryl Laplante,F,1995,58,-26
1969,3.0,7.0,1995-59,LAK,Vladimir Tsyplakov,F,1995,59,-27
1970,3.0,8.0,1995-60,MTL,Miloslav Guren,D,1995,60,-28
1971,3.0,9.0,1995-61,VAN,Larry Courville,F,1995,61,-29
1972,3.0,10.0,1995-62,FLA,Mike O'Grady,D,1995,62,-30
1973,3.0,11.0,1995-63,DAL,Petr Buzek,D,1995,63,-31
1974,3.0,12.0,1995-64,SJS,Marko Makinen,F,1995,64,-32
1975,3.0,13.0,1995-65,NYR,Mike Martin,D,1995,65,-33
1976,3.0,14.0,1995-66,VAN,Peter Schaefer,F,1995,66,-34
1977,3.0,15.0,1995-67,WIN,Brad Isbister,F,1995,67,-35
1978,3.0,16.0,1995-68,BUF,Mathieu Sunderland,F,1995,68,-36
1979,3.0,17.0,1995-69,DAL,Sergey Gusev,D,1995,69,-37
1980,3.0,18.0,1995-70,NJD,Sergei Vyshedkevich,D,1995,70,-38
1981,3.0,19.0,1995-71,CHI,Kevin McKay,D,1995,71,-39
